id,type,ssapId,Title,country,fundCode,title0,status,contractNumber,supplierCode,supplierName,trls,other,yearAchievement,submissionDate,submittedBy,lastAuthor,scheme,arap_PlannedStartTRL,arap_PlannedEndTRL,arap_Description,arap_StartofActivity,arap_EED,arap_ProspectforUse,arap_PerformanceofCompagny,arap_Note,arap_OverallAmount,arap_lastModifiedOn,description,author0,esaInternal,technicalOfficer
1,activity,activity_ESA-2025-001,In-Orbit Demonstration of 3D Printed Solar Array,Germany,FND-ESA-001,3D Printed Solar Array Demo,"06/01/2025, 12:00:00 AM",CTR-ESA-001,SUP-ESA-001,DCUBED,8,,2025,"03/10/2025, 12:00:00 AM",Dr. Müller,Dr. Schmidt,ESA ScaleUp INVEST,7,8,Demonstrated the first in-orbit 3D printed solar array,"01/15/2025, 12:00:00 AM","06/01/2025, 12:00:00 AM",Used for small satellites,Improved satellite deployment efficiency,,1200000,"06/01/2025, 12:00:00 AM",Demonstrated lightweight solar array technology,Dr. Müller,False,Ing. Becker
2,activity,activity_ESA-2025-002,Earth Observation for Precision Agriculture,France,FND-ESA-002,EO Agriculture,"07/01/2025, 12:00:00 AM",CTR-ESA-002,SUP-ESA-002,Airbus Defence and Space,7,,2025,"03/15/2025, 12:00:00 AM",Mme. Dupont,Mme. Leclerc,ESA Business Applications,6,7,Monitored crop health via satellites,"02/01/2025, 12:00:00 AM","07/01/2025, 12:00:00 AM",Optimized irrigation and fertilizer usage,Enhanced agricultural productivity,,900000,"07/01/2025, 12:00:00 AM",Integrated EO data into farming processes,Mme. Dupont,False,Ing. Moreau
3,activity,activity_ESA-2025-003,Maritime Safety Enhancement via Satellite Navigation,Italy,FND-ESA-003,Maritime SatNav,"08/01/2025, 12:00:00 AM",CTR-ESA-003,SUP-ESA-003,Thales Alenia Space,6,,2025,"03/20/2025, 12:00:00 AM",Ing. Rossi,Ing. Bianchi,Horizon Europe,5,6,Developed satellite navigation for maritime routes,"02/15/2025, 12:00:00 AM","08/01/2025, 12:00:00 AM",Improved safety and route optimization,Reduced accidents,,1500000,"08/01/2025, 12:00:00 AM",Enhanced maritime navigation via GNSS,Ing. Rossi,False,Ing. Conti
4,activity,activity_ESA-2025-004,Satellite Communication for Remote Area Connectivity,Spain,FND-ESA-004,Remote Comms,"05/01/2025, 12:00:00 AM",CTR-ESA-004,SUP-ESA-004,Hisdesat,5,,2025,"03/12/2025, 12:00:00 AM",Ing. Garcia,Ing. Martinez,ESA ARTES,4,5,Implemented satellite communication for remote regions,"01/10/2025, 12:00:00 AM","05/01/2025, 12:00:00 AM",Improved internet access in rural areas,Enhanced connectivity,,750000,"05/01/2025, 12:00:00 AM",Satellite-based remote communications deployed,Ing. Garcia,False,Ing. Perez
5,activity,activity_ESA-2025-005,Advanced Weather Monitoring via Space Assets,United Kingdom,FND-ESA-005,WeatherSat,"06/15/2025, 12:00:00 AM",CTR-ESA-005,SUP-ESA-005,Surrey Satellite Technology Ltd,8,,2025,"03/25/2025, 12:00:00 AM",Dr. Smith,Dr. Johnson,ESA Earth Observation,7,8,Developed satellite system for weather monitoring,"02/01/2025, 12:00:00 AM","06/15/2025, 12:00:00 AM",Improved real-time weather forecasting,Enhanced climate data analysis,,1100000,"06/15/2025, 12:00:00 AM",Advanced weather monitoring satellites launched,Dr. Smith,False,Ing. Taylor
6,activity,activity_ESA-2025-006,Disaster Management Platform Utilizing Space Data,Germany,FND-ESA-006,Disaster Management Platform,"09/01/2025, 12:00:00 AM",CTR-ESA-006,SUP-ESA-006,OHB System AG,7,,2025,"04/01/2025, 12:00:00 AM",Dr. Weber,Dr. Klein,ESA Business Applications,6,7,Integrated satellite data for disaster response,"03/01/2025, 12:00:00 AM","09/01/2025, 12:00:00 AM",Improved emergency preparedness,Enhanced civil protection,,950000,"09/01/2025, 12:00:00 AM",Disaster management satellite platform deployed,Dr. Weber,False,Ing. Huber
7,activity,activity_ESA-2025-007,Environmental Monitoring via Satellite Technology,France,FND-ESA-007,EnviroSat,"07/20/2025, 12:00:00 AM",CTR-ESA-007,SUP-ESA-007,Airbus Defence and Space,6,,2025,"03/30/2025, 12:00:00 AM",Mme. Lambert,Mme. Moreau,ESA Earth Observation,5,6,Monitored environmental changes and pollution levels,"02/10/2025, 12:00:00 AM","07/20/2025, 12:00:00 AM",Supported environmental protection initiatives,Improved policy decisions,,1050000,"07/20/2025, 12:00:00 AM",Satellite environmental monitoring system deployed,Mme. Lambert,False,Ing. Dubois
8,activity,activity_ESA-2025-008,Precision Agriculture Tools Using Space Data,Netherlands,FND-ESA-008,Agritech Tools,"08/10/2025, 12:00:00 AM",CTR-ESA-008,SUP-ESA-008,TNO,5,,2025,"04/05/2025, 12:00:00 AM",Dr. Van Dijk,Dr. Jansen,ESA Business Applications,4,5,Developed satellite-based precision agriculture tools,"03/01/2025, 12:00:00 AM","08/10/2025, 12:00:00 AM",Enhanced farming efficiency,Reduced resource waste,,820000,"08/10/2025, 12:00:00 AM",Precision agriculture tools deployed,Dr. Van Dijk,False,Ing. Bakker
9,activity,activity_ESA-2025-009,Enhanced Emergency Services via Satellite Communication,Portugal,FND-ESA-009,Emergency SatCom,"09/15/2025, 12:00:00 AM",CTR-ESA-009,SUP-ESA-009,EMSO,6,,2025,"04/12/2025, 12:00:00 AM",Ing. Silva,Ing. Ferreira,ESA ARTES,5,6,Improved satellite communication for emergency response,"03/15/2025, 12:00:00 AM","09/15/2025, 12:00:00 AM",Reduced response times,Enhanced coordination,,780000,"09/15/2025, 12:00:00 AM",Satellite emergency communication system deployed,Ing. Silva,False,Ing. Costa
10,activity,activity_ESA-2025-010,Maritime Surveillance via Space Assets,Finland,FND-ESA-010,Maritime SatMon,"07/30/2025, 12:00:00 AM",CTR-ESA-010,SUP-ESA-010,VTT Technical Research Centre,7,,2025,"04/01/2025, 12:00:00 AM",Dr. Laine,Dr. Niemi,ESA Earth Observation,6,7,Monitored maritime activities and ensured safety,"02/20/2025, 12:00:00 AM","07/30/2025, 12:00:00 AM",Improved maritime security,Reduced incidents,,1200000,"07/30/2025, 12:00:00 AM",Maritime satellite surveillance system deployed,Dr. Laine,False,Ing. Korhonen
